match_id,TEAM,MAP_PICK,WIN
2302057,TYLOO,0.0,Y
2302057,Luminosity,0.0,Y
2302058,mousesports,0.0,N
2302058,Liquid,0.0,N
2302059,"Natus Vincere",0.0,Y
2302059,GODSENT,0.0,Y
2302060,G2,0.0,N
2302060,CLG,0.0,N
2302062,Dignitas,0.0,N
2302062,NiP,0.0,N
2302063,Virtus.pro,0.0,Y
2302063,FaZe,0.0,Y
2302064,"Tempo Storm",0.0,N
2302064,Envy,0.0,N
2302073,Liquid,0.0,N
2302073,TYLOO,0.0,N
2302074,mousesports,0.0,N
2302074,Luminosity,0.0,N
2302075,"Natus Vincere",0.0,Y
2302075,CLG,0.0,Y
2302076,G2,0.0,Y
2302076,GODSENT,0.0,Y
2302077,CSGL,0.0,N
2302077,NiP,0.0,N
2302078,Dignitas,0.0,N
2302078,Astralis,0.0,N
2302079,Envy,0.0,N
2302079,FaZe,0.0,N
2302080,Virtus.pro,0.0,Y
2302080,"Tempo Storm",0.0,Y
2302091,TYLOO,Cache,N
2302091,TYLOO,Cache,Y
2302091,Luminosity,Overpass,N
2302091,Luminosity,Overpass,Y
2302093,GODSENT,Overpass,Y
2302093,CLG,Cache,Y
2302094,Astralis,Inferno,N
2302094,Astralis,Inferno,Y
2302094,NiP,Cache,N
2302094,NiP,Cache,Y
2302098,Envy,Dust2,Y
2302098,"Tempo Storm",Inferno,Y
2302113,TYLOO,Mirage,Y
2302113,"Natus Vincere",Inferno,Y
2302114,Envy,Mirage,N
2302114,Dignitas,Inferno,N
2302115,GODSENT,Inferno,N
2302115,GODSENT,Inferno,Y
2302115,mousesports,Cache,N
2302115,mousesports,Cache,Y
2302116,NiP,Cache,Y
2302116,Virtus.pro,Train,Y
2302127,Envy,Inferno,Y
2302127,"Natus Vincere",Dust2,Y
2302128,GODSENT,Cobblestone,N
2302128,GODSENT,Cobblestone,Y
2302128,NiP,Train,N
2302128,NiP,Train,Y
2302129,NiP,Cobblestone,N
2302129,"Natus Vincere",Dust2,N
2303394,Reload,Cobblestone,N
2303394,ASDF,Nuke,N
2303537,GUTS,Dust2,Y
2303537,Exile5,Train,Y
2303538,Athletico,Train,N
2303538,Athletico,Train,Y
2303538,Skyfire,Cache,N
2303538,Skyfire,Cache,Y
2303539,Chiefs,Dust2,Y
2303539,Chiefs,Dust2,N
2303539,Parallax,Overpass,Y
2303539,Parallax,Overpass,N
2303540,SYF,Train,Y
2303540,SYF,Train,N
2303540,Reload,Cobblestone,Y
2303540,Reload,Cobblestone,N
2303541,AVANT,Mirage,Y
2303541,InFamous,Cache,Y
2303542,ASDF,Cobblestone,Y
2303542,Legacy,Train,Y
2303565,X,Mirage,Y
2303565,TYLOO,Train,Y
2303587,Athletico,Mirage,Y
2303587,Exile5,Train,Y
2303588,Chiefs,Mirage,Y
2303588,Chiefs,Mirage,N
2303588,Parallax,Cache,Y
2303588,Parallax,Cache,N
2303591,Athletico,Dust2,Y
2303591,Chiefs,Train,Y
2303592,Athletico,Mirage,N
2303592,Parallax,Dust2,N
2303649,Millenium,Mirage,Y
2303649,Spirit,Cache,Y
2303665,"ALTERNATE aTTaX",Cobblestone,N
2303665,ENCE,Dust2,N
2303697,Spirit,Mirage,N
2303697,Spirit,Mirage,Y
2303697,DarkPassage,Cobblestone,N
2303697,DarkPassage,Cobblestone,Y
2303699,INTZ,Mirage,Y
2303699,INTZ,Mirage,N
2303699,CNB,Train,Y
2303699,CNB,Train,N
2303772,Spirit,Dust2,N
2303772,MK,Cobblestone,N
2303786,PENTA,Cache,Y
2303786,PENTA,Cache,N
2303786,EURONICS,Cobblestone,Y
2303786,EURONICS,Cobblestone,N
2303791,Athletico,Train,N
2303791,Athletico,Train,Y
2303791,"MVP Project",Nuke,N
2303791,"MVP Project",Nuke,Y
2303818,Tricked,Cobblestone,N
2303818,AGG,Nuke,N
2303826,MK,Mirage,Y
2303826,MK,Mirage,N
2303826,Spirit,Dust2,Y
2303826,Spirit,Dust2,N
2303834,Complexity,Dust2,N
2303834,Kaliber,Cache,N
2303835,Blight,Cobblestone,Y
2303835,Prospects,Overpass,Y
2303836,Complexity,Cache,Y
2303836,Complexity,Cache,N
2303836,Blight,Overpass,Y
2303836,Blight,Overpass,N
2303837,Prospects,0.0,Y
2303837,Prospects,0.0,N
2303837,Kaliber,0.0,Y
2303837,Kaliber,0.0,N
2303839,Innova,Dust2,Y
2303839,Innova,Dust2,N
2303839,TeamOne,Nuke,Y
2303839,TeamOne,Nuke,N
2303843,Luminosity,Cobblestone,N
2303843,Luminosity,Cobblestone,Y
2303843,Selfless,Cache,N
2303843,Selfless,Cache,Y
2303858,X,Dust2,N
2303858,X,Dust2,Y
2303858,GODSENT,Train,N
2303858,GODSENT,Train,Y
2303859,Delete,Cache,Y
2303859,Spirit,Mirage,Y
2303876,Blight,Cache,Y
2303876,Kaliber,Cobblestone,Y
2303880,Vesuvius,Mirage,Y
2303880,Comanche,Dust2,Y
2303881,Spirit,Overpass,N
2303881,NokSuKao,Mirage,N
2303891,LGR,Dust2,Y
2303891,LGR,Dust2,N
2303891,Spirit,Cache,Y
2303891,Spirit,Cache,N
2303912,GODSENT,Cache,Y
2303912,Virtus.pro,Cobblestone,Y
2303915,Millenium,Cobblestone,N
2303915,Millenium,Cobblestone,Y
2303915,DenDD,Mirage,N
2303915,DenDD,Mirage,Y
2303916,Spirit,Overpass,Y
2303916,AGG,Mirage,Y
2303923,Serbia,Train,N
2303923,Bulgaria,Cache,N
2303937,ENCE,Inferno,Y
2303937,MK,Train,Y
2303951,Luminosity,Train,N
2303951,"Echo Fox",Dust2,N
2303957,Bravado,Cache,Y
2303957,"FlipSid3 Africa",Cobblestone,Y
2303958,"Damage Control",Dust2,Y
2303958,carboN,Cobblestone,Y
2303967,Bravado,Mirage,Y
2303967,carboN,Cobblestone,Y
2303970,"Damage Control",Dust2,N
2303970,"FlipSid3 Africa",Cache,N
2303972,"Space Soldiers",Cobblestone,Y
2303972,DarkPassage,Cache,Y
2303977,AVANT,Mirage,N
2303977,AVANT,Mirage,Y
2303977,Athletico,Overpass,N
2303977,Athletico,Overpass,Y
2303978,Parallax,Cobblestone,N
2303978,Chiefs,Overpass,N
2303984,FlipSid3,Mirage,N
2303984,FlipSid3,Mirage,Y
2303984,Dignitas,Overpass,N
